rect,N,M,S_est,abs_err,rel_err
tight,79600,62450,0.78454773869346738913,0.15996944720653261118,0.16936637002968121801
tight,80100,62889,0.78513108614232207660,0.15938609975767792371,0.16874875559390065116
tight,80600,63340,0.78585607940446655650,0.15866110649553344381,0.16798117478863064389
tight,81100,63809,0.78679408138101114556,0.15772310451898885475,0.16698807271431445609
tight,81600,64085,0.78535539215686278602,0.15916179374313721429,0.16851127339888163914
tight,82100,64316,0.78338611449451889257,0.16113107140548110774,0.17059623033957238558
tight,82600,64937,0.78616222760290555005,0.15835495829709445026,0.16765704283739751856
tight,83100,65244,0.78512635379061368468,0.15939083210938631563,0.16875376593334076580
tight,83600,65662,0.78543062200956936802,0.15908656389043063228,0.16843162439531703112
tight,84100,66142,0.78646848989298456800,0.15804869600701543231,0.16733279009255497272
tight,84600,66491,0.78594562647754140361,0.15857155942245859670,0.16788636754275770846
tight,85100,67048,0.78787309048178610915,0.15664409541821389116,0.16584568047743120101
tight,85600,67266,0.78581775700934575202,0.15869942889065424829,0.16802174831729999038
tight,86100,67647,0.78567944250871080136,0.15883774339128919895,0.16816818768621752400
tight,86600,68013,0.78536951501154739219,0.15914767088845260812,0.16849632093968297530
tight,87100,68639,0.78804822043628008910,0.15646896546371991121,0.16566026304182668305
tight,87600,68929,0.78686073059360728266,0.15765645530639271765,0.16691750839469052248
tight,88100,69384,0.78755959137343922727,0.15695759452656077304,0.16617759514560970224
tight,88600,69327,0.78247178329571109856,0.16204540260428890175,0.17156427116768771524
tight,89100,70016,0.78581369248035914943,0.15870349341964085088,0.16802605160478620294
tight,89600,70223,0.78373883928571430602,0.16077834661428569429,0.17022278579408292587
tight,90100,70658,0.78421753607103217298,0.16029964982896782733,0.16971596940951735877
tight,90600,70995,0.78360927152317882971,0.16090791437682117060,0.17035996462414518260
tight,91100,71683,0.78686059275521402778,0.15765659314478597253,0.16691765432998456609
tight,91600,72060,0.78668122270742357749,0.15783596319257642282,0.16710756093038117709
tight,92100,72247,0.78444082519001090414,0.16007636070998909616,0.16947956384452389500
tight,92600,72964,0.78794816414686830175,0.15656902175313169856,0.16576619683626203638
tight,93100,72979,0.78387755102040812538,0.16063963487959187493,0.17007592585678951713
tight,93600,73584,0.78615384615384620304,0.15836333974615379727,0.16766591662940941165
tight,94100,73973,0.78611052072263554180,0.15840666517736445851,0.16771178708243816846
tight,94600,74233,0.78470401691331925775,0.15981316898668074256,0.16920091171702705823
tight,95100,74865,0.78722397476340688627,0.15729321113659311404,0.16653292654141965690
tight,95600,74928,0.78376569037656906858,0.16075149552343093173,0.17019435741685950969
tight,96100,75381,0.78440166493236207490,0.16011552096763792541,0.16952102445342909220
tight,96600,75792,0.78459627329192549450,0.15992091260807450581,0.16931498441258219234
tight,97100,76340,0.78619979402677653280,0.15831739187322346751,0.16761726968722959197
tight,97600,76318,0.78194672131147535676,0.16257046458852464355,0.17212017633497742053
tight,98100,77207,0.78702344546381242107,0.15749374043618757923,0.16674523533006641030
tight,98600,77540,0.78640973630831645380,0.15810744959168354651,0.16739499497939580586
tight,99100,77779,0.78485368314833503511,0.15966350275166496520,0.16904245379032120655
tight,99600,78062,0.78375502008032127410,0.16076216581967872621,0.17020565450748642577
tight,100000,78340,0.78339999999999998526,0.16111718590000001505,0.17058152917194052689
